题目,选项,答案,题型,难度,知识点
Which relative pronoun fits?,A.which B.that C.where D.when,A,单选,中,定语从句
Choose the correct pronoun,,C,单选,易,定语从句
Which clause type is this?,A.定语从句 B.宾语从句 C.主语从句 D.表语从句,A,单选,易,从句
Pick the right letter,A.10 B.20 C.30 D.40,B,单选,易,数字
下面哪一个是地点关系词?,A.that B.which C.where D.when,C,单选,中,关系词
选择正确选项：...（选项在多行）,"A.which
B.that
C.where
D.when",D,单选,中,定语从句
选择正确的判断,选项无,T,判断,易,判断
多选题示例,A.apple B.banana C.cherry D.date,AC,多选,中,水果
中文连写示例,A．甲 B．乙 C．丙 D．丁,B,单选,中,字母
半角全角混合,(A)北京 (B)上海 (C)广州 (D)深圳,D,单选,易,城市
题干内含选项：Which is correct? A.who B.which C.whose D.whom,,B,单选,中,定语从句
无选项文本,无,,填空,难,综合
